grupo,especialidad,jornada,salario_base_eur
I,LABORABLE,02-08,210.51
I,LABORABLE,08-14,107.80
I,LABORABLE,14-20,107.80
I,LABORABLE,20-02,149.29
I,SABADO,08-14,123.67
I,SABADO,14-20,179.12
I,SABADO,20-02,263.44
I,FESTIVO,02-08,379.00
I,FESTIVO,08-14,179.02
I,FESTIVO,14-20,253.65
I,FESTIVO,20-02,341.46
II,LABORABLE,02-08,217.40
II,LABORABLE,08-14,111.33
II,LABORABLE,14-20,111.33
II,LABORABLE,20-02,154.20
II,SABADO,08-14,127.72
II,SABADO,14-20,184.99
II,SABADO,20-02,271.96
II,FESTIVO,02-08,391.42
II,FESTIVO,08-14,184.88
II,FESTIVO,14-20,261.85
II,FESTIVO,20-02,352.49
III,LABORABLE,02-08,225.82
III,LABORABLE,08-14,115.44
III,LABORABLE,14-20,115.44
III,LABORABLE,20-02,159.91
III,SABADO,08-14,131.81
III,SABADO,14-20,191.77
III,SABADO,20-02,282.10
III,FESTIVO,02-08,405.86
III,FESTIVO,08-14,191.66
III,FESTIVO,14-20,271.51
III,FESTIVO,20-02,365.52
IV,LABORABLE,02-08,238.98
IV,LABORABLE,08-14,122.17
IV,LABORABLE,14-20,122.17
IV,LABORABLE,20-02,169.25
IV,SABADO,08-14,138.49
IV,SABADO,14-20,203.00
IV,SABADO,20-02,298.55
IV,FESTIVO,02-08,429.56
IV,FESTIVO,08-14,202.88
IV,FESTIVO,14-20,287.36
IV,FESTIVO,20-02,386.88
